,data_collection_time,symbol,expiry,strike,kind,und_price,bid_price,ask_price,mid_price,last_price,volume,ib_bid_delta
0,2021-06-25 11:54:46.884018,AMC,2021-06-25,0.5,P,54.32550048828125,-1.0,0.01,-0.495,,,
1,2021-06-25 11:54:46.884018,AMC,2021-06-25,1.0,P,54.32550048828125,-1.0,0.01,-0.495,,,
2,2021-06-25 11:54:46.884018,AMC,2021-06-25,1.5,P,54.32550048828125,-1.0,0.01,-0.495,,,
3,2021-06-25 11:54:46.884018,AMC,2021-06-25,2.0,P,54.32550048828125,-1.0,0.01,-0.495,,,
4,2021-06-25 11:54:46.884018,AMC,2021-06-25,2.5,P,54.32550048828125,-1.0,0.01,-0.495,,,
5,2021-06-25 11:54:46.884018,AMC,2021-06-25,3.0,P,54.32550048828125,-1.0,0.01,-0.495,,,
6,2021-06-25 11:54:46.884018,AMC,2021-06-25,3.5,P,54.32550048828125,-1.0,0.01,-0.495,,,
7,2021-06-25 11:54:46.885016,AMC,2021-06-25,4.0,P,54.32550048828125,-1.0,0.01,-0.495,,,
8,2021-06-25 11:54:46.885016,AMC,2021-06-25,4.5,P,54.32550048828125,-1.0,0.01,-0.495,,,
9,2021-06-25 11:54:46.885016,AMC,2021-06-25,5.0,P,54.32550048828125,-1.0,0.01,-0.495,,,
10,2021-06-25 11:54:46.885016,AMC,2021-06-25,5.5,P,54.32550048828125,-1.0,0.01,-0.495,,,
11,2021-06-25 11:54:46.885016,AMC,2021-06-25,6.0,P,54.32550048828125,-1.0,0.01,-0.495,,,
12,2021-06-25 11:54:46.885016,AMC,2021-06-25,6.5,P,54.32550048828125,-1.0,0.01,-0.495,,,
13,2021-06-25 11:54:46.892039,AMC,2021-06-25,7.0,P,54.32550048828125,-1.0,0.01,-0.495,,60.0,
14,2021-06-25 11:54:46.892923,AMC,2021-06-25,7.5,P,54.32550048828125,-1.0,0.01,-0.495,0.01,1.0,
15,2021-06-25 11:54:46.893261,AMC,2021-06-25,8.0,P,54.32550048828125,-1.0,0.01,-0.495,,1.0,
16,2021-06-25 11:54:46.900885,AMC,2021-06-25,8.5,P,54.32550048828125,-1.0,0.01,-0.495,,,
17,2021-06-25 11:54:46.902884,AMC,2021-06-25,9.0,P,54.32550048828125,-1.0,0.01,-0.495,,2.0,
18,2021-06-25 11:54:46.903384,AMC,2021-06-25,9.5,P,54.32550048828125,-1.0,0.01,-0.495,,2.0,
19,2021-06-25 11:54:46.903884,AMC,2021-06-25,10.0,P,54.32550048828125,-1.0,0.01,-0.495,0.01,1.0,
20,2021-06-25 11:54:46.903884,AMC,2021-06-25,10.5,P,54.32550048828125,-1.0,0.01,-0.495,0.01,1.0,
21,2021-06-25 11:54:46.903884,AMC,2021-06-25,11.0,P,54.32550048828125,-1.0,0.01,-0.495,,,
22,2021-06-25 11:54:46.903884,AMC,2021-06-25,11.5,P,54.32550048828125,-1.0,0.01,-0.495,,,
23,2021-06-25 11:54:46.904981,AMC,2021-06-25,12.0,P,54.32550048828125,-1.0,0.01,-0.495,,,
24,2021-06-25 11:54:46.904981,AMC,2021-06-25,12.5,P,54.32550048828125,-1.0,0.01,-0.495,0.01,1.0,
25,2021-06-25 11:54:46.904981,AMC,2021-06-25,13.0,P,54.32550048828125,-1.0,0.01,-0.495,,,
26,2021-06-25 11:54:46.904981,AMC,2021-06-25,14.0,P,54.32550048828125,-1.0,0.01,-0.495,,,
27,2021-06-25 11:54:46.904981,AMC,2021-06-25,15.0,P,54.32550048828125,-1.0,0.01,-0.495,0.01,5.0,
28,2021-06-25 11:54:46.904981,AMC,2021-06-25,16.0,P,54.32550048828125,-1.0,0.01,-0.495,0.01,301.0,
29,2021-06-25 11:54:46.904981,AMC,2021-06-25,17.0,P,54.32550048828125,-1.0,0.01,-0.495,0.01,10.0,
30,2021-06-25 11:54:46.904981,AMC,2021-06-25,18.0,P,54.32550048828125,-1.0,0.01,-0.495,,,
31,2021-06-25 11:54:46.904981,AMC,2021-06-25,19.0,P,54.32550048828125,-1.0,0.01,-0.495,,,
32,2021-06-25 11:54:46.904981,AMC,2021-06-25,20.0,P,54.32550048828125,-1.0,0.01,-0.495,,7.0,
33,2021-06-25 11:54:46.904981,AMC,2021-06-25,21.0,P,54.32550048828125,-1.0,0.01,-0.495,,43.0,
34,2021-06-25 11:54:46.905981,AMC,2021-06-25,22.0,P,54.32550048828125,-1.0,0.01,-0.495,0.01,10.0,
35,2021-06-25 11:54:46.905981,AMC,2021-06-25,23.0,P,54.32550048828125,-1.0,0.01,-0.495,0.01,43.0,
36,2021-06-25 11:54:46.905981,AMC,2021-06-25,24.0,P,54.32550048828125,-1.0,0.01,-0.495,,,
37,2021-06-25 11:54:46.905981,AMC,2021-06-25,25.0,P,54.32550048828125,-1.0,0.01,-0.495,0.01,90.0,
38,2021-06-25 11:54:46.905981,AMC,2021-06-25,26.0,P,54.32550048828125,-1.0,0.01,-0.495,,1.0,
39,2021-06-25 11:54:46.907634,AMC,2021-06-25,27.0,P,54.32550048828125,-1.0,0.01,-0.495,,1.0,
40,2021-06-25 11:54:46.912660,AMC,2021-06-25,28.0,P,54.32550048828125,-1.0,0.01,-0.495,0.01,17.0,
41,2021-06-25 11:54:46.913660,AMC,2021-06-25,29.0,P,54.32550048828125,-1.0,0.01,-0.495,0.01,5.0,
42,2021-06-25 11:54:46.913660,AMC,2021-06-25,30.0,P,54.32550048828125,-1.0,0.01,-0.495,0.01,1798.0,
43,2021-06-25 11:54:46.913660,AMC,2021-06-25,31.0,P,54.32550048828125,-1.0,0.02,-0.49,0.01,33.0,
44,2021-06-25 11:54:46.914659,AMC,2021-06-25,32.0,P,54.32550048828125,-1.0,0.02,-0.49,0.01,112.0,
45,2021-06-25 11:54:46.914659,AMC,2021-06-25,33.0,P,54.31100082397461,-1.0,0.01,-0.495,0.01,82.0,
46,2021-06-25 11:54:46.914659,AMC,2021-06-25,34.0,P,54.31100082397461,-1.0,0.01,-0.495,0.01,38.0,
47,2021-06-25 11:54:46.914659,AMC,2021-06-25,35.0,P,54.31100082397461,0.01,0.02,0.015,0.01,374.0,
48,2021-06-25 11:54:46.914659,AMC,2021-06-25,36.0,P,54.31100082397461,0.01,0.02,0.015,0.02,314.0,
49,2021-06-25 11:54:46.914659,AMC,2021-06-25,37.0,P,54.31100082397461,0.01,0.02,0.015,0.02,243.0,-2.607774857841302e-06
