,symbol,expiry,strike,bid_price_call,ask_price_call,mid_price_call,last_price_call,volume_call,ib_bid_delta_call,implied_vol_mid_point_call,mid_point_delta_call,bid_price_put,ask_price_put,mid_price_put,last_price_put,volume_put,ib_bid_delta_put,implied_vol_mid_point_put,mid_point_delta_put,und_price,tte
0,GME,2021-06-11,202.5,69.1,71.3,70.19999999999999,,5.0,,2.228407048395382,0.964495291687653,0.67,0.9,0.785,0.7,19.0,-0.023454174027517354,2.284654287750938,-0.038284109955738055,272.0,0.005928853754940711
1,GME,2021-06-11,205.0,66.65,68.85,67.75,69.2,3.0,,2.1798040859066323,0.961535015885358,0.73,0.87,0.8,0.81,44.0,-0.020998935462337092,2.2139498250506877,-0.04005885102070028,272.0,0.005928853754940711
2,GME,2021-06-11,207.5,64.25,66.4,65.325,,,,2.1425613747312404,0.9575704671728598,0.76,1.01,0.885,1.01,13.0,-0.02366073783704767,2.1798251993770865,-0.044327704384079736,272.0,0.005928853754940711
3,GME,2021-06-11,210.0,61.8,64.05,62.925,70.0,2.0,0.9964363331075626,2.113971691582044,0.9526070874770787,0.82,1.08,0.95,0.9,148.0,-0.026427909431790644,2.1322411112389044,-0.04806841199157774,272.0,0.005928853754940711
4,GME,2021-06-11,212.5,59.35,61.7,60.525000000000006,,,0.9907536624887027,2.080512041807136,0.9474989588917732,0.91,1.18,1.045,1.0,5.0,-0.03721926289925874,2.0957741910593715,-0.05297571567014425,272.0,0.005928853754940711
5,GME,2021-06-11,215.0,56.95,59.2,58.075,,2.0,0.9851058196470216,2.0219798458287594,0.9438911352835248,1.02,1.2,1.1099999999999999,1.1,76.0,-0.043488452249180985,2.0431481110388217,-0.057070329640105166,272.0,0.005928853754940711
6,GME,2021-06-11,217.5,54.55,56.8,55.675,,1.0,0.9753166842437343,1.9821059892128896,0.9383908996256378,1.02,1.33,1.175,1.06,120.0,-0.0470787744104961,1.9887102134270864,-0.06137268610919455,272.0,0.005928853754940711
7,GME,2021-06-11,220.0,52.15,54.3,53.224999999999994,55.12,10.0,0.9943865988298289,1.920281490447047,0.9343378804696478,1.19,1.3,1.245,1.32,1674.0,-0.05430000341368908,1.9344378478307218,-0.06607387600871373,272.0,0.005928853754940711
8,GME,2021-06-11,222.5,49.8,52.05,50.925,49.9,6.0,0.9903555498156088,1.9093628275796277,0.9250419896144868,1.24,1.5,1.37,1.42,86.0,-0.06005655238646417,1.8974979588117629,-0.07286397006581546,272.0,0.005928853754940711
9,GME,2021-06-11,225.0,47.45,49.85,48.650000000000006,,2.0,0.9777868547945413,1.8980517722738257,0.9148254787992322,1.36,1.75,1.5550000000000002,1.65,290.0,-0.06737740464838493,1.8756206102847333,-0.08185582747625897,272.0,0.005928853754940711
